	RB36992.rmdup.simulated	RB36993.rmdup.simulated	RB36994.rmdup.simulated	RB36997.rmdup.simulated	RB36999.rmdup.simulated	RB37000.rmdup.simulated	RB37001.rmdup.simulated	RB37002.rmdup.simulated	RB37003.rmdup.simulated	RB37004.rmdup.simulated
RB36992.rmdup.simulated	1.0	0.997162385823081	0.9963169838347206	0.9966743821694806	0.99537802396482	0.9944940996467572	0.9963226337187298	0.9926793101943343	0.9928616406884593	0.9934353856073459
RB36993.rmdup.simulated	0.997162385823081	1.0	0.9962183388823889	0.9965762375590135	0.9954087446748272	0.9939885643916055	0.9959402658573244	0.9933238497011175	0.993621426064443	0.9941586907965982
RB36994.rmdup.simulated	0.9963169838347206	0.9962183388823889	1.0	0.9965375753759853	0.9960499084074153	0.995268695323125	0.9964143089229682	0.9916625483804073	0.9918753681801226	0.9925942071107898
RB36997.rmdup.simulated	0.9966743821694806	0.9965762375590135	0.9965375753759853	1.0	0.9962443424481522	0.9953298573476959	0.9965819729236335	0.991744548162784	0.9920679901280859	0.9927875766790922
RB36999.rmdup.simulated	0.99537802396482	0.9954087446748272	0.9960499084074153	0.9962443424481522	1.0	0.9959990467124291	0.9964422476492059	0.99129063366677	0.9919797603494969	0.9925089665045759
RB37000.rmdup.simulated	0.9944940996467572	0.9939885643916055	0.995268695323125	0.9953298573476959	0.9959990467124291	1.0	0.9960225958998288	0.9895840948316277	0.9900188006878088	0.990748410022966
RB37001.rmdup.simulated	0.9963226337187298	0.9959402658573244	0.9964143089229682	0.9965819729236335	0.9964422476492059	0.9960225958998288	1.0	0.9913987242805646	0.9917700533746867	0.9921682903027931
RB37002.rmdup.simulated	0.9926793101943343	0.9933238497011175	0.9916625483804073	0.991744548162784	0.99129063366677	0.9895840948316277	0.9913987242805646	1.0	0.9967597507293111	0.9963292392493698
RB37003.rmdup.simulated	0.9928616406884593	0.993621426064443	0.9918753681801226	0.9920679901280859	0.9919797603494969	0.9900188006878088	0.9917700533746867	0.9967597507293111	1.0	0.9965612034776037
RB37004.rmdup.simulated	0.9934353856073459	0.9941586907965982	0.9925942071107898	0.9927875766790922	0.9925089665045759	0.990748410022966	0.9921682903027931	0.9963292392493698	0.9965612034776037	1.0
